"","Company","Country","Project","Payment_type","V1"
"147","Gem Diamonds Ltd","Botswana","Gem Diamonds Botswana (Proprietary) Limited","Royalties",1506000
"148","Premier Oil Plc","Pakistan","Zamzama","Royalties",1438000
"149","Total Sa","Yemen","Block 5","Production Entitlements",8969000
"150","Jardine Matheson Holdings Ltd","Indonesia","Banjar, South Kalimantan Project","Royalties",1397378
"151","Total Sa","Bolivia, Plurinational State of","Azero","Fees",1330000
"152","Polymetal Intl Plc","Russian Federation","Voro","Royalties",9996000
"153","Total Sa","United Kingdom of Great Britain and Northern Ireland","Central Graben Area","Fees",1327000
"154","Vedanta Resources","India","VGCB","Royalties",9910000
"155","Total Sa","Norway","Victoria","Fees",1308000
"156","Total Sa","Congo","CPP Tchendo 2","Tax",16433000
"157","Total Sa","Argentina","Neuquen","Fees",1290000
"158","Acacia Mining","Tanzania, United Republic of","North Mara gold mine","Other",2297000
"159","Petrofac","Malaysia","PM304","Fees",1253000
"160","Total Sa","Congo","Madingo","Fees",1154000
"161","Vedanta Resources","India","HZL-RD Mine","Royalties",7660000
"162","Polymetal Intl Plc","Kazakhstan","Varvara","Royalties",1092000
"163","Petrofac","Tunisia","Chergui","Tax",9910000
"164","Acacia Mining","South Africa","Johannesburg corporate office","Tax",1013000
"165","Total Sa","Congo, the Democratic Republic of the","Block 3","Fees",910000
"166","Total Sa","Colombia","Non-attributable","Tax",907000
"167","Total Sa","Gabon","Hylia II CEPP","Fees",893000
"168","Acacia Mining","Tanzania, United Republic of","Exploration administrative","Tax",806000
"169","Vedanta Resources","Namibia","SZ","Royalties",720000
"170","Vedanta Resources","India","CIL-KG-OSN","Fees",7e+05
"171","Total Sa","Gabon","Baudroie Mérou CEPP","Fees",648000
"172","Total Sa","Angola","Block 32","Fees",616000
"173","Vedanta Resources","India","SMCL-IO-Mandoorbaga","Royalties",530000
"174","Ophir Energy Plc","Gabon","Nkawa","Fees",522000
"175","Ophir Energy Plc","Gabon","Nkouere","Fees",510000
"176","Total Sa","Cyprus","Block 11","Fees",509000
"177","Premier Oil Plc","Viet Nam","Chim Sao","Bonuses",450000
"178","Great Eastern Energy Group","India","Raniganj (South) block","Production Entitlements",437889
"179","Acacia Mining","Tanzania, United Republic of","Bulyanhulu gold mine","Fees",434000
"180","Vedanta Resources","India","VEDL-IO-Mareta Sodo","Royalties",410000
"181","Ophir Energy Plc","Indonesia","Bangkanai (Kerendan)","Infrastructure",395000
"182","Total Sa","Colombia","Non-attributable","Fees",379000
"183","Vedanta Resources","South Africa","BMM","Royalties",370000
"184","Goldbridges Global Resources Plc","Kazakhstan","TOO Goronorudnoe Predpriatie Sekisovskoye","Infrastructure",349983
"185","Petropavlovsk Plc","Russian Federation","Malomyr","Fees",341000
"186","Total Sa","Bulgaria","Khan Asparuh","Fees",323000
"187","Vedanta Resources","India","CIL-CB-OS/2","Tax",310000
"188","Total Sa","Congo","CPP Haute Mer - Zone B","Fees",282000
"189","Genel Energy Plc","Iraq","Taq Taq","Infrastructure",280000
"190","Total Sa","Canada","Joslyn","Fees",249000
"191","Green Dragon Gas Ltd","China","Shizhuang South (GSS)","Fees",247000
"192","Premier Oil Plc","United Kingdom of Great Britain and Northern Ireland","Brenda","Fees",236000
"193","Jardine Matheson Holdings Ltd","Indonesia","North Barito, Central Kalimantan Project","Fees",233231
"194","Great Eastern Energy Group","India","Raniganj (South) block","Tax",232346
"195","Ophir Energy Plc","Kenya","L9","Fees",232000
"196","Exillon Energy Plc","Russian Federation","Ucatex Ugra LLC","Tax",232000
"197","Total Sa","Egypt","North El Mahala Onshore","Fees",230000
"198","Hunting Plc","United States of America","Ship Shoal 170","Royalties",228537
"199","Total Sa","Kenya","Block L22","Fees",228000
"200","Randgold Resources","Cote d'Ivoire","Boundiali exploration permit","Fees",220827
"201","Acacia Mining","Tanzania, United Republic of","North Mara gold mine","Fees",217000
"202","Total Sa","Angola","Block 39","Fees",214000
"203","Ophir Energy Plc","Gabon","Ntsina","Fees",209000
"204","Total Sa","Angola","Block 40","Fees",207000
"205","Ophir Energy Plc","Gabon","Gnondo","Fees",207000
"206","Exillon Energy Plc","Russian Federation","North-Kenyunskoye oil field","Tax",204000
"207","Polymetal Intl Plc","Kazakhstan","Kyzyl","Other",230000
"208","Total Sa","Uganda","Block EA-1A","Fees",201000
"209","Vedanta Resources","India","SMCL-IO-Lamgao","Royalties",2e+05
"210","Exillon Energy Plc","Russian Federation","Nem Oil CJSC","Tax",198000
"211","Premier Oil Plc","Pakistan","Zarghun South","Royalties",195000
"212","Polymetal Intl Plc","Russian Federation","Albazino","Fees",280000
"213","Total Sa","Brazil","Ceara (CE-M-661)","Fees",192000
"214","Total Sa","Norway","PL006 Tor","Fees",188000
"215","Acacia Mining","Kenya","Kenya administrative","Tax",578000
"216","Total Sa","Nigeria","Joint ventures with NNPC, non operated - non-attributable","Fees",182000
"217","Vedanta Resources","India","CIL-MB-DWN","Fees",180000
"218","Acacia Mining","Tanzania, United Republic of","Buzwagi gold mine","Fees",176000
"219","Total Sa","Mauritania","Block TA29","Fees",175000
"220","Polymetal Intl Plc","Russian Federation","Okhotsk","Fees",599000
"221","Total Sa","Nigeria","OPL285","Fees",173000
"222","Randgold Resources","Cote d'Ivoire","Société des Mines de Tongon SA","Infrastructure",172000
"223","Total Sa","Angola","Block 25","Fees",171000
"224","Total Sa","Mauritania","Block C9","Fees",170000
"225","Goldbridges Global Resources Plc","Kazakhstan","TOO Goronorudnoe Predpriatie Sekisovskoye","Fees",167387
"226","Randgold Resources","Mali","Société des Mines de Gounkoto SA","Infrastructure",167000
"227","Total Sa","Norway","PL026 Rind","Fees",149000
"228","Green Dragon Gas Ltd","China","Boatian-Qingshan (GGZ)","Fees",146000
"229","Petropavlovsk Plc","Russian Federation","Albyn","Fees",142000
"230","Premier Oil Plc","United Kingdom of Great Britain and Northern Ireland","P354","Fees",140000
"231","Total Sa","Italy","Gorgoglione Unified License","Fees",139000
"232","Premier Oil Plc","Brazil","CE-M-665-R11","Fees",135000
"233","Total Sa","Congo","Kombi, Likalala & Libondo","Fees",125000
"234","Total Sa","Uruguay","Blocks 1 & 2 (Onshore)","Fees",123000
"235","Acacia Mining","Tanzania, United Republic of","Non-core exploration projects","Fees",114000
"236","Green Dragon Gas Ltd","China","Fengcheng (GFC)","Fees",110000
"237","Total Sa","Canada","Other oil sands projects","Fees",102000
"238","Green Dragon Gas Ltd","China","Panxie East (GPX)","Fees",95000
"239","Vedanta Resources","India","SRL-IO-Onvalienchi Math","Royalties",90000
"240","Total Sa","Canada","Northern Lights","Fees",83000
"241","Green Dragon Gas Ltd","China","Chengzhuang (GCZ)","Tax",82000
"242","Polymetal Intl Plc","Kazakhstan","Kyzyl","Tax",77000
"243","Hunting Plc","United States of America","Ship Shoal 109","Royalties",67375
"244","Acacia Mining","Kenya","Kenya administrative","Fees",66000
"245","Randgold Resources","Cote d'Ivoire","Société des Mines de Tongon SA","Fees",62628
"246","Total Sa","Yemen","Block 70","Fees",57000
"247","Total Sa","Norway","Islay","Fees",51000
"248","Hunting Plc","United States of America","South Timbalier 34","Royalties",50974
"249","Total Sa","Brazil","Xerelete (BC-2)","Fees",49000
"250","Hunting Plc","United States of America","Bay Marchand Blk 2/5","Royalties",45402
"251","Total Sa","Gabon","Nziembou CEPP","Bonuses",45000
