"","Company","Country","Project","Payment_type","V1"
"740","Glencore plc","Canada","Ontario Project - Corporate","Tax",22980000
"741","Antofagasta plc","","CCM Leonor","Tax",596000
"742","Tullow Oil PLC","Pakistan","Kohlu","Infrastructure",3000
"743","Total Sa","United Arab Emirates","Abu Dhabi Gas Industries Ltd (GASCO)","Tax",363274000
"744","Total Sa","Argentina","Tierra del Fuego","Fees",5964000
"745","BP P.L.C.","Iraq","Rumaila","Fees",2080694
"746","Tullow Oil PLC","Kenya","Block 10BB","Fees",92580
"747","Hunting Plc","United States of America","Hibank","Tax",18
"748","Tullow Oil PLC","Pakistan","Kohat","Infrastructure",4000
"749","BP P.L.C.","United States of America","Colorado","Royalties",23507588
"750","Glencore plc","Congo, the Democratic Republic of the","DRC Copperbelt Region Project","Tax",176646000
"751","Tullow Oil PLC","Mauritania","PSC B (Chinguetti EEA)","Production Entitlements",3142335
"752","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Alma & Galia","Fees",149663
"753","Rio Tinto PLC","Australia","GOVE","Fees",2757307
"754","ROYAL DUTCH SHELL PLC","Gabon","GABON CENTRAL","Fees",683055
"755","Glencore plc","Chile","IV Region Coquimbo Project - Minera Punitaqui","Royalties",9000
"756","EVRAZ PLC","Russian Federation","Mezhegeyugol Coal Company","Fees",105536
"757","Tullow Oil PLC","Norway","PL 406","Fees",390701
"758","FRESNILLO PLC","Mexico","San Julian","Fees",1732203
"759","Hunting Plc","United States of America","Benedum Plant Field","Tax",27
"760","Hunting Plc","United States of America","Hidalgo/Noser Gas Unit","Tax",28
"761","Rio Tinto PLC","Colombia","EXPLORATION - COLUMBIA","Tax",341011
"762","Glencore plc","Canada","Quebec Project - various exploration projects","Fees",108000
"763","ROYAL DUTCH SHELL PLC","Italy","SHELL ITALIA E&P SpA","Tax",102686074
"764","Glencore plc","Chad","DOH Project","Fees",250000
"765","Anglo American plc","South Africa","Kumba Iron Ore - Kolomela Mine","Tax",3874232
"766","Tullow Oil PLC","Namibia","Production Licence 37","Fees",126660
"767","Hunting Plc","United States of America","Hortense","Tax",30
"768","Total Sa","Norway","Skirne & Bygve","Fees",408000
"769","ROYAL DUTCH SHELL PLC","United States of America","SHELL EXPLORATION & PRODUCTION COMPANY","Tax",1217700
"770","Hunting Plc","United States of America","Rayne","Tax",33
"771","Rio Tinto PLC","Chile","EXPLORATION - CHILE","Fees",555753
"772","Gulf Keystone Petroleum Ltd","Iraq","Shaikan","Royalties",23552918
"773","BP P.L.C.","Russian Federation","Rosneft","Tax",31795751
"774","Cadogan Petroleum PLC","Ukraine","Debeslavetska Production licence area","Tax",765099
"775","Vedanta Resources","India","CIL-KG-OSN","Royalties",10210000
"776","Anglo American plc","Brazil","Corporate-Anglo American Minerio de Ferro Brasil S.A","Tax",3319776
"777","Seplat Petroleum","Nigeria","OML 4, 38 and 41","Production Entitlements",573690618
"778","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Horne & Wren","Infrastructure",101620
"779","ROYAL DUTCH SHELL PLC","Brazil","BC-10","Royalties",40551350
"780","Anglo American plc","Canada","Victor","Fees",3382841
"781","KAZ Minerals PLC","Kazakhstan","Aktogay","Tax",3505
"782","Avocet Mining PLC","Guinea","Tri-K","Tax",288000
"783","Ophir Energy Plc","Gabon","Mbeli","Fees",497000
"784","ROYAL DUTCH SHELL PLC","Ireland","CORRIB PROJECT","Fees",4313103
"785","ROYAL DUTCH SHELL PLC","Egypt","BADR EL-DIN (BED)","Tax",37921247
"786","Ophir Energy Plc","Equatorial Guinea","Block R","Fees",555000
"787","Rio Tinto PLC","Australia","WEIPA INCLUDING AMRUN","Royalties",83506091
"788","KAZ Minerals PLC","Kazakhstan","Bozshakol","Tax",285
"789","Hunting Plc","United States of America","Wood River Ranch","Tax",2707
"790","Glencore plc","Australia","Queensland Project - Mount Isa Mines Zinc","Royalties",41630573
"791","ROYAL DUTCH SHELL PLC","Norway","ORMEN LANGE AND DRAUGEN","Fees",2946998
"792","Tullow Oil PLC","Netherlands","E11","Fees",32333
"793","Glencore plc","Chad","Doseo / Borogop Project","Fees",708000
"794","EVRAZ PLC","Russian Federation","EVRAZ KGOK","Fees",1015351
"795","Genel Energy Plc","Iraq","Taq Taq","Royalties",181680000
"796","ROYAL DUTCH SHELL PLC","Gabon","GABON CENTRAL","Production Entitlements",55488726
"797","Anglo American plc","South Africa","Corporate-Anglo American Inyosi Coal (Pty) Limited","Fees",5039
"798","EnQuest PLC","Malaysia","PM8","Production Entitlements",47492425
"799","Glencore plc","Australia","Queensland Project - Thermal Coal","Fees",2751760
"800","BP P.L.C.","Viet Nam","Divested Assets","Tax",75476621
"801","Anglo American plc","South Africa","Kimberley Mines","Infrastructure",403000
"802","EVRAZ PLC","Russian Federation","Shakhta Alardinskaya","Fees",200140
"803","KAZ Minerals PLC","Kazakhstan","Koksay","Tax",11389
"804","Perenco Oil & Gas Colombia Limited","Colombia","Cerrero Katmandu Norte-1","Royalties",10
"805","EVRAZ PLC","Russian Federation","Shakhta Esaulskaya","Fees",95924
"806","PetroLatina Energy Ltd. (consolidated group)","Colombia","Unallocated","Tax",11946476
"807","BG Group Ltd","Trinidad and Tobago","Central Block","Royalties",6405000
"808","Anglo American plc","Chile","Corporate-Anglo American Norte S.A.","Fees",1706258
"809","Hunting Plc","United States of America","South Pelto 25","Tax",5510
"810","PetroLatina Energy Ltd. (consolidated group)","Colombia","Midas Block","Royalties",5178598
"811","Anglo American plc","South Africa","Corporate-De Beers Consolidated Mines (Pty) Ltd","Fees",744942
"812","FRESNILLO PLC","Mexico","Servicios Administrativos Fresnillo, S.A. de C.V.","Tax",313429
"813","Perenco Oil & Gas Colombia Limited","Colombia","Boquerón","Production Entitlements",1883952
"814","PetroLatina Energy Ltd. (consolidated group)","Colombia","Midas Block","Fees",189097
"815","EVRAZ PLC","Russian Federation","Shakhta Osinnikovskaya","Tax",371876
"816","Glencore plc","Argentina","Catamarca Province Project - Minera Alumbrera","Royalties",16586000
"817","KAZ Minerals PLC","Kazakhstan","Bozshakol","Royalties",1532
"818","FRESNILLO PLC","Mexico","Cienega","Fees",1886858
"819","BG Group Ltd","Bolivia, Plurinational State of","Haucareta","Fees",1121000
"820","Rio Tinto PLC","Madagascar","QIT MADAGASCAR MINERALS","Royalties",569615
"821","Tullow Oil PLC","Uganda","Tullow Uganda Operation Pty Limited","Fees",11453
"822","Rio Tinto PLC","Australia","DAMPIER SALT","Fees",515834
"823","Anglo American plc","South Africa","Corporate-Rustenburg Platinum Mines Ltd","Royalties",33455094
"824","Anglo American plc","South Africa","Twickenham","Infrastructure",126084
"825","Rio Tinto PLC","Mongolia","OYU TOLGOI","Tax",65951340
"826","ROYAL DUTCH SHELL PLC","Nigeria","THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED","Fees",247875666
"827","Anglo American plc","United States of America","Lararmides Generative","Fees",162495
"828","Total Sa","France","Lacq","Tax",3951000
"829","JX Nippon Exploration and Production (U.K.) Limited","United Kingdom of Great Britain and Northern Ireland","Licence P1850 Project","Fees",96551
"830","Cairn Energy PLC","United Kingdom of Great Britain and Northern Ireland","P2149 (Block 1)","Fees",41039
"831","Glencore plc","Australia","New South Wales Project - Thermal Coal","Infrastructure",31078273
"832","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Wissey","Infrastructure",40113
"833","Glencore plc","Chad","Kibea EXA","Bonuses",2e+06
"834","Tullow Oil PLC","Gabon","Ingongo","Royalties",94142
"835","Hunting Plc","United States of America","Garden Island Bay","Tax",1398
"836","Glencore plc","Australia","Queensland Project - Ernest Henry Mine Copper","Fees",518870
"837","ROYAL DUTCH SHELL PLC","Nigeria","PSC 1993 (OPL209)","Tax",88954570
"838","Cairn Energy PLC","Greenland","2011/13 (Pitu)","Fees",63910
"839","Anglo American plc","Brazil","Corporate-Anglo American Fosfatos Ltda","Tax",24516670
"840","Cairn Energy PLC","Greenland","2005/06 (Lady Franklin)","Fees",50842
"841","Anglo American plc","Peru","Corporate-Anglo American Quellaveco S.A.","Tax",495278
"842","Total Sa","Nigeria","OML130 PSA (Akpo & Egina)","Infrastructure",53385000
"843","Vedanta Resources","India","Cairn India Ltd","Tax",30770000
"844","KAZ Minerals PLC","Hong Kong","Legal entity","Tax",145
"845","BG Group Ltd","Bolivia, Plurinational State of","La Vertiente","Fees",7369000
"846","FRESNILLO PLC","Mexico","Cienega","Tax",2083391
"847","Anglo American plc","Brazil","Corporate-Anglo American Niquel Brasil Ltda","Fees",310936
"848","Nord Gold SE","Kazakhstan","FIC Alel JSC","Tax",9828257
"849","Rio Tinto PLC","Peru","La Granja","Fees",8900000
"850","ROYAL DUTCH SHELL PLC","Malaysia","SHELL SABAH  SELATAN SDN. BHD.","Tax",536297
"851","Tullow Oil PLC","Kenya","Tullow Kenya BV","Tax",8577
"852","Nord Gold SE","Burkina Faso","Societe des Mines de Taparko","Tax",6724535
"853","Total Sa","Nigeria","OML58 (joint venture with NNPC, operated)","Tax",30805000
"854","KAZ Minerals PLC","United Kingdom of Great Britain and Northern Ireland","Legal entity","Tax",6364
"855","Rio Tinto PLC","Australia","QUEENSLAND COAL","Fees",3863400
"856","Rio Tinto PLC","Canada","DIAVIK","Tax",63188312
"857","Total Sa","Qatar","Al Khalij","Tax",115485000
"858","BG Group Ltd","Trinidad and Tobago","ECMA","Production Entitlements",109467000
"859","Anglo American plc","Australia","Callide","Royalties",15697131
"860","Anglo American plc","South Africa","Polokwane Smelter","Infrastructure",120247
"861","EVRAZ PLC","Russian Federation","United Coal Company Yuzhkuzbasugol","Tax",1114849
"862","EnQuest PLC","Malaysia","PM8","Tax",8175125
"863","BG Group Ltd","Tunisia","Hasdrubal","Tax",33098000
"864","Anglo American plc","Peru","Corporate-Anglo American Michiquillay S.A.","Fees",3709025
"865","ROYAL DUTCH SHELL PLC","Iraq","MAJNOON","Production Entitlements",1335946438
"866","EVRAZ PLC","Russian Federation","Shakhta Kusheyakovskaya","Fees",131779
"867","BG Group Ltd","Bolivia, Plurinational State of","Corporate","Tax",61788000
"868","Rio Tinto PLC","Madagascar","QIT MADAGASCAR MINERALS","Fees",109825
"869","Total Sa","Cote d'Ivoire","CI-100","Fees",157000
"870","Tullow Oil PLC","Pakistan","Bannu West","Fees",3842
"871","Glencore plc","Chad","Mangara Field Project","Production Entitlements",27419000
"872","Tullow Oil PLC","Norway","PL 407","Fees",70973
"873","Anglo American plc","Chile","Corporate-Anglo American Chile","Infrastructure",5690401
"874","ROYAL DUTCH SHELL PLC","Canada","GROUNDBIRCH","Fees",3898403
"875","Petrofac","Tunisia","Chergui","Fees",6000
"876","Glencore plc","Australia","Queensland Project - Coking Coal","Royalties",25592243
"877","Anglo American plc","South Africa","Corporate","Infrastructure",836708
"878","Anglo American plc","South Africa","Corporate-Anglo Operations Proprietary Limited (Corporate)","Infrastructure",20477627
"879","Perenco Oil & Gas Colombia Limited","Colombia","Corporate","Tax",1811000
"880","Total Sa","Madagascar","Bemolanga","Fees",425000
"881","BP P.L.C.","Egypt","North Damietta Offshore","Bonuses",1175000
"882","Hunting Plc","United States of America","Whiskey Joe","Tax",493
"883","Anglo American plc","Australia","Dartbrook","Tax",937133
"884","ROYAL DUTCH SHELL PLC","Malaysia","SARAWAK OIL AND GAS","Royalties",561308475
"885","Anglo American plc","Canada","Gahcho Kué","Infrastructure",747429
"886","Cairn Energy PLC","Morocco","Foum  Draa","Tax",262452
"887","Glencore plc","Australia","New South Wales Project - Thermal Coal","Fees",3629175
"888","Total Sa","Indonesia","Mahakam PSC","Tax",400729000
"889","Tullow Oil PLC","Ghana","Jubilee","Production Entitlements",44466150
"890","Anglo American plc","South Africa","Kumba Iron Ore - Sishen Mine","Infrastructure",3677000
"891","Glencore plc","Australia","New South Wales Project - Thermal Coal","Royalties",207725815
"892","Anglo American plc","Brazil","Minas Rio","Infrastructure",16832673
"893","Total Sa","Nigeria","Non-attributable","Tax",331077000
"894","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","49/24F1 (Gawain) 49/29a (part)","Infrastructure",96271
"895","ROYAL DUTCH SHELL PLC","New Zealand","SHELL NEW ZEALAND (2011) LIMITED","Tax",58845962
"896","Anglo American plc","Brazil","Chapadao","Royalties",7556
"897","Anglo American plc","South Africa","Mogalakwena","Infrastructure",166045
"898","Glencore plc","Equatorial Guinea","Block O - Alen Project","Fees",136000
"899","Cairn Energy PLC","Malta","Area 3 (Block 1)","Fees",550500
"900","Glencore plc","Australia","New South Wales Project - Coking Coal","Fees",185103
"901","Rio Tinto PLC","Australia","DAMPIER SALT","Tax",13516130
"902","Anglo American plc","South Africa","Rustenburg Base Metal Refinery","Infrastructure",243093
"903","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Munro (44/17B)","Fees",60201
"904","ROYAL DUTCH SHELL PLC","Egypt","NORTH EAST ABU GHARADIG (NEAG)","Tax",13223246
"905","Glencore plc","Equatorial Guinea","Block I - Aseng Project","Tax",36363000
"906","Rio Tinto PLC","Australia","QUEENSLAND COAL","Royalties",66769590
"907","ROYAL DUTCH SHELL PLC","China","JINQIU+FUSHUN+ZITONG","Production Entitlements",18842305
"908","Rio Tinto PLC","Brazil","EXPLORATION - BRAZIL","Tax",354611
"909","Rio Tinto PLC","South Africa","RICHARDS BAY MINERALS","Royalties",15512451
"910","Anglo American plc","Canada","Snap Lake","Infrastructure",1092701
"911","ROYAL DUTCH SHELL PLC","Norway","NORWAY  EXPLORATION PROJECTS","Fees",7999522
"912","Anglo American plc","South Africa","Venetia Mine","Infrastructure",750000
"913","Rio Tinto PLC","Namibia","ROSSING","Royalties",5033528
"914","Vedanta Resources","India","CIL-RJ-ON-90/1","Royalties",350260000
"915","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Deben Wensum","Fees",1965
"916","ROYAL DUTCH SHELL PLC","Nigeria","THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED","Tax",260095760
"917","Total Sa","Bolivia, Plurinational State of","San Antonio","Tax",113375000
"918","BG Group Ltd","Trinidad and Tobago","ECMA","Fees",3384000
"919","Nord Gold SE","Burkina Faso","Bissa Gold SA","Tax",31392421
"920","ROYAL DUTCH SHELL PLC","Malaysia","SARAWAK OIL AND GAS","Tax",172351709
"921","Rio Tinto PLC","Australia","ARGYLE","Fees",764295
"922","BG Group Ltd","Trinidad and Tobago","Central Block","Tax",5333000
"923","Vedanta Resources","India","SMCL-IO-Totichomor Dongor","Royalties",480000
"924","Anglo American plc","Australia","Capcoal","Fees",1093337
"925","Hunting Plc","United States of America","Garden Island Bay","Royalties",3686
"926","Glencore plc","Australia","Queensland Project - Mount Isa Mines Copper","Fees",1853940
"927","ROYAL DUTCH SHELL PLC","Qatar","PEARL GTL","Production Entitlements",452582830
"928","KAZ Minerals PLC","Kazakhstan","Aktogay","Infrastructure",620
"929","Anglo American plc","Brazil","Chapadao","Fees",159728
"930","Hunting Plc","United States of America","Foss Brown","Tax",1055
"931","Glencore plc","Australia","Queensland Project - Mount Isa Mines Copper","Royalties",28974371
"932","ROYAL DUTCH SHELL PLC","United States of America","PERMIAN","Fees",1692047
"933","Total Sa","Iraq","Baranan Block","Fees",565000
"934","Anglo American plc","Australia","Corporate","Fees",13071
"935","Polymetal Intl Plc","Russian Federation","Lunnoye","Royalties",6560000
"936","Nord Gold SE","Guinea","Societe Miniere de Dinguiraye","Infrastructure",1200863
"937","Cairn Energy PLC","Ireland","FEL 2/04","Fees",23092
"938","Glencore plc","Canada","Ontario Project - Sudbury","Fees",98000
"939","Anglo American plc","Chile","Corporate-Anglo American Sur S.A.","Tax",94056637
"940","Goldbridges Global Resources Plc","Kazakhstan","TOO Goronorudnoe Predpriatie Sekisovskoye","Royalties",558492
"941","Anglo American plc","Brazil","Corporate-Anglo American Fosfatos Ltda","Fees",55426
"942","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Royalties",8609635
"943","Anglo American plc","South Africa","Corporate-De Beers Consolidated Mines (Pty) Ltd","Tax",95134
"944","BP P.L.C.","Trinidad and Tobago","BPTT Blocks","Fees",165721
"945","Petrofac","Malaysia","PM304","Royalties",9825000
"946","Anglo American plc","Chile","Corporate-Anglo American Sur S.A.","Fees",3032655
"947","Glencore plc","Peru","Antapaccay","Tax",54204000
"948","Glencore plc","Bolivia, Plurinational State of","Oruro Project - Sinchi Wayra","Royalties",1488000
"949","BP P.L.C.","United States of America","Gulf of Mexico - Central","Bonuses",4850014
"950","Nord Gold SE","Russian Federation","Buryatzoloto JSC","Tax",20239845
"951","Nord Gold SE","Russian Federation","Berezitovy rudnik LLC","Tax",26427865
"952","Antofagasta plc","","Centinela","Fees",189000
"953","ROYAL DUTCH SHELL PLC","China","JINQIU+FUSHUN+ZITONG","Royalties",922004
"954","Antofagasta plc","","Exploration activities (within Antofagasta Minerals S.A.)","Fees",3996000
"955","BG Group Ltd","Brazil","Corporate","Tax",70975000
"956","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Decommissioning","Fees",367597
"957","ROYAL DUTCH SHELL PLC","Qatar","PEARL GTL","Fees",16475980
"958","Antofagasta plc","","Michilla","Fees",736000
"959","Vedanta Resources","India","CIL-RJ-ON-90/1","Production Entitlements",372050000
"960","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Wissey","Fees",12328
"961","Antofagasta plc","","Twin Metals","Fees",263000
"962","Ophir Energy Plc","Gabon","Manga","Fees",334000
"963","Tullow Oil PLC","Cote d'Ivoire","CI-26 Espoir","Production Entitlements",273751
"964","Rio Tinto PLC","Australia","NEW SOUTH WALES COAL","Fees",2961791
"965","Tullow Oil PLC","Ethiopia","South Omo","Fees",440680
"966","Tullow Oil PLC","Ethiopia","South Omo","Infrastructure",196729
"967","Rio Tinto PLC","Australia","NEW SOUTH WALES COAL","Tax",98131730
"968","Tullow Oil PLC","Gabon","Echira","Royalties",1303643
"969","Tullow Oil PLC","Gabon","Etame","Royalties",3123930
"970","Glencore plc","Zambia","Copperbelt Region Project - Mopani","Tax",270000
"971","Tullow Oil PLC","Gabon","Ezanga","Royalties",706470
"972","Tullow Oil PLC","Gabon","Limande","Royalties",3235887
"973","Total Sa","Libya","Areas 15, 16 & 32 (Al Jurf)","Production Entitlements",203176000
"974","Rio Tinto PLC","Australia","PILBARA","Royalties",1061871911
"975","ROYAL DUTCH SHELL PLC","Malaysia","Shell Energy Asia Limited","Tax",181807
"976","Tullow Oil PLC","Gabon","Niungo","Royalties",3013410
"977","BP P.L.C.","Algeria","In Amenas","Tax",49466918
"978","Tullow Oil PLC","Gabon","Oba","Royalties",1105736
"979","ROYAL DUTCH SHELL PLC","Australia","NORTH WEST SHELF","Royalties",120230627
"980","Total Sa","Gabon","Non-attributable","Dividends",11250000
"981","BP P.L.C.","Algeria","In Salah","Tax",84492164
"982","Randgold Resources","Mali","Société des Mines de Loulo SA","Tax",12395231
"983","BP P.L.C.","Canada","Terre de Grace","Fees",396131
"984","Tullow Oil PLC","Gabon","Tulipe Oil SA","Tax",2121853
"985","Rio Tinto PLC","Australia","PILBARA","Fees",1140210
"986","Tullow Oil PLC","Gabon","Tullow Oil Gabon SA","Tax",15775329
"987","ROYAL DUTCH SHELL PLC","New Zealand","SHELL NEW ZEALAND (2011) LIMITED","Fees",139534
"988","ROYAL DUTCH SHELL PLC","Norway","ORMEN LANGE AND DRAUGEN","Production Entitlements",3008589121
"989","Rio Tinto PLC","Mongolia","OYU TOLGOI","Royalties",111117141
"990","ROYAL DUTCH SHELL PLC","Nigeria","THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED","Royalties",341126943
"991","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Boulton B & F","Fees",64465
"992","ROYAL DUTCH SHELL PLC","United States of America","PERMIAN","Royalties",13941794
"993","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Gawain","Fees",10615
"994","ROYAL DUTCH SHELL PLC","Egypt","OBAIYED","Tax",34422390
"995","Total Sa","Gabon","Coucal CEPP","Fees",533000
"996","Rio Tinto PLC","Argentina","EXPLORATION - ARGENTINA","Tax",399739
"997","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kittiwake","Fees",884459
"998","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Murdoch K","Fees",259624
"999","BP P.L.C.","Egypt","North October","Tax",855682
"1000","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Schooner","Fees",434488
"1001","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Thames","Fees",17083
"1002","Total Sa","Qatar","Al Khalij","Infrastructure",21136000
"1003","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Thurne","Fees",42941
"1004","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Tullow Group Services Limited","Tax",7712109
"1005","Tullow Oil PLC","Ghana","Jubilee","Infrastructure",915219
"1006","Tullow Oil PLC","Ghana","TEN","Infrastructure",237263
"1007","Tullow Oil PLC","Congo, the Democratic Republic of the","M'boundi","Production Entitlements",15127543
"1008","Tullow Oil PLC","Ghana","Tullow Ghana Limited","Fees",60472
"1009","Tullow Oil PLC","Ghana","Tullow Ghana Limited","Infrastructure",3190490
"1010","Tullow Oil PLC","Guinea","Offshore Guinea (Deepwater)","Fees",75087
"1011","BP P.L.C.","Indonesia","Tangguh","Production Entitlements",550847289
"1012","Tullow Oil PLC","Guinea","Tullow Guinea Limited","Infrastructure",59572
"1013","BG Group Ltd","Brazil","BM-S-9","Royalties",196113000
"1014","BG Group Ltd","Thailand","Bongkot","Royalties",102723000
"1015","EVRAZ PLC","Russian Federation","Evrazruda","Fees",1952047
"1016","Tullow Oil PLC","Equatorial Guinea","Ceiba","Production Entitlements",10006583
"1017","Nord Gold SE","Burkina Faso","Societe des Mines de Taparko","Dividends",315114
"1018","Tullow Oil PLC","Equatorial Guinea","Tullow Equatorial Guinea Limited","Tax",37380751
"1019","BG Group Ltd","Egypt","Rosetta","Tax",14315000
"1020","Glencore plc","Chile","IV Region Coquimbo Project - Minera Punitaqui","Fees",221000
"1021","Total Sa","Gabon","Concession Grondin","Tax",48452000
"1022","BG Group Ltd","India","Panna-Mukhta","Royalties",52106000
"1023","KAZ Minerals PLC","Kazakhstan","Aktogay","Royalties",2945
"1024","Tullow Oil PLC","Jamaica","Walton Morant","Fees",128261
"1025","ROYAL DUTCH SHELL PLC","United States of America","ALASKA EXPLORATION","Fees",6882404
"1026","ROYAL DUTCH SHELL PLC","United States of America","APPALACHIA","Fees",13164884
"1027","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Fees",375684
"1028","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Royalties",4239029
"1029","ROYAL DUTCH SHELL PLC","Brunei Darussalam","SHELL DEEPWATER BORNEO LIMITED","Tax",1983978
"1030","ROYAL DUTCH SHELL PLC","Canada","ATHABASCA OIL SANDS","Royalties",62808847
"1031","ROYAL DUTCH SHELL PLC","Australia","Shell Australia Pty Ltd","Tax",757694007
"1032","Tullow Oil PLC","Suriname","Block 54","Infrastructure",257689
"1033","BP P.L.C.","Brazil","BM-POT-16 (POT-M-760)","Fees",85996688
"1034","BP P.L.C.","United States of America","Alaska","Royalties",254908256
"1035","ROYAL DUTCH SHELL PLC","Egypt","BADR EL-DIN (BED)","Bonuses",1e+08
"1036","KAZ Minerals PLC","Kazakhstan","Legal entity - East Region","Infrastructure",11072
"1037","BP P.L.C.","Brazil","BM-POT-16 (POT-M-663)","Fees",734260
"1038","ROYAL DUTCH SHELL PLC","Brazil","BIJUPIRA & SALEMA","Fees",393972
"1039","ROYAL DUTCH SHELL PLC","Brazil","BIJUPIRA & SALEMA","Royalties",24850409
"1040","Perenco Overseas Holdings Limited","Viet Nam","Perenco Cuu Long Ltd","Tax",98407194
"1041","ROYAL DUTCH SHELL PLC","China","CHANGBEI","Royalties",7686464
"1042","ROYAL DUTCH SHELL PLC","Ireland","CORRIB PROJECT","Infrastructure",564653
"1043","ROYAL DUTCH SHELL PLC","Gabon","GABON CENTRAL","Royalties",16583412
"1044","ROYAL DUTCH SHELL PLC","Gabon","GABON NORTH EAST","Royalties",38400345
"1045","ROYAL DUTCH SHELL PLC","Argentina","ARGENTINA UNCONVENTIONAL PROJECTS","Bonuses",1.2e+07
"1046","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Production Entitlements",2595760
"1047","Glencore plc","South Africa","Mpumalanga Province Project - Thermal Coal","Royalties",11864971
"1048","ROYAL DUTCH SHELL PLC","Malaysia","SARAWAK SHELL BERHAD","Tax",421287
"1049","JKX Oil & Gas plc","Ukraine","Novo-Nikolaevskoye Complex","Fees",114000
"1050","Tullow Oil PLC","Norway","PL 438","Fees",1002241
"1051","ROYAL DUTCH SHELL PLC","Germany","SHELL EXPLORATION ET PRODUCTION DU MAROC GMBH","Tax",2278214
"1052","BP P.L.C.","United States of America","Colorado","Tax",14806262
"1053","ROYAL DUTCH SHELL PLC","Canada","GROUNDBIRCH","Royalties",594864
"1054","ROYAL DUTCH SHELL PLC","Canada","INSITU","Fees",22244721
"1055","ROYAL DUTCH SHELL PLC","Italy","ITALY UPSTREAM ASSET","Royalties",104352782
"1056","Anglo American plc","Brazil","Boa Vista (Fresh Rock)","Royalties",271683
"1057","ROYAL DUTCH SHELL PLC","Jordan","JORDAN FIELD EXPERIMENT","Bonuses",3e+06
"1058","BG Group Ltd","Tunisia","Hasdrubal","Royalties",13680000
"1059","ROYAL DUTCH SHELL PLC","New Zealand","KAPUNI","Royalties",742945
"1060","ROYAL DUTCH SHELL PLC","Iraq","MAJNOON","Tax",15689830
"1061","Rio Tinto PLC","Canada","IRON ORE COMPANY OF CANADA","Tax",937576
"1062","ROYAL DUTCH SHELL PLC","Malaysia","SHELL SABAH  SELATAN SDN. BHD.","Royalties",268078
"1063","Tullow Oil PLC","Gabon","Tchatamba","Royalties",9413126
"1064","ROYAL DUTCH SHELL PLC","Malaysia","SHELL OIL & GAS (MALAYSIA) LLC","Tax",587157
"1065","Total Sa","Libya","Areas 15, 16 & 32 (Al Jurf)","Tax",160461000
"1066","ROYAL DUTCH SHELL PLC","Oman","MUKHAIZNA PSC","Tax",23003630
"1067","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Ketch","Fees",299158
"1068","ROYAL DUTCH SHELL PLC","United States of America","Non Core Assets","Tax",22852354
"1069","ROYAL DUTCH SHELL PLC","Norway","A/S NORSKE SHELL","Tax",1137352447
"1070","Seplat Petroleum","Nigeria","OML 56","Royalties",527310
"1071","Rio Tinto PLC","Australia","WEIPA INCLUDING AMRUN","Fees",1111735
"1072","Anglo American plc","Brazil","Corporate","Infrastructure",4200453
"1073","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","ONEGAS WEST","Fees",1239639
"1074","Total Sa","Kazakhstan","Kashagan","Infrastructure",11612000
"1075","BP P.L.C.","Canada","Nova Scotia Exploration","Fees",298693
"1076","Tullow Oil PLC","United Kingdom of Great Britain and Northern Ireland","Kelvin","Fees",129854
"1077","ROYAL DUTCH SHELL PLC","United Kingdom of Great Britain and Northern Ireland","ONEGAS WEST","Tax",52759167
"1078","Antofagasta plc","","Los Pelambres","Fees",964000
"1079","ROYAL DUTCH SHELL PLC","Qatar","PEARL GTL","Tax",520599000
"1080","ROYAL DUTCH SHELL PLC","New Zealand","POHOKURA","Royalties",55711110
"1081","BP P.L.C.","Egypt","East Morgan","Tax",11755360
"1082","Total Sa","France","Pécorade","Tax",397000
"1083","ROYAL DUTCH SHELL PLC","Nigeria","PSC 1993 (OPL212/OML118, OPL219/OML135)","Tax",368870290
