"","Company","Project","Country","V1","ProComp"
"76","Glencore plc","Cesar Department Project - Prodeco","Colombia",136801000,"Glencore plc Cesar Department Project - Prodeco"
"77","Total Sa","Al Khalij","Qatar",136621000,"Total Sa Al Khalij"
"78","BP P.L.C.","Gulf of Suez","Egypt",136147645,"BP P.L.C. Gulf of Suez"
"79","Jardine Matheson Holdings Ltd","Pamapersada Nusantara","Indonesia",136107977,"Jardine Matheson Holdings Ltd Pamapersada Nusantara"
"80","BG Group Ltd","Panna-Mukhta","India",133251000,"BG Group Ltd Panna-Mukhta"
"81","Total Sa","Joint ventures with NNPC, non operated - non-attributable","Nigeria",133081000,"Total Sa Joint ventures with NNPC, non operated - non-attributable"
"82","Perenco Overseas Holdings Limited","Perenco Cuu Long Ltd","Viet Nam",127523234,"Perenco Overseas Holdings Limited Perenco Cuu Long Ltd"
"83","ROYAL DUTCH SHELL PLC","NORTH WEST SHELF","Australia",120230627,"ROYAL DUTCH SHELL PLC NORTH WEST SHELF"
"84","BP P.L.C.","Block 15","Angola",118558137,"BP P.L.C. Block 15"
"85","Total Sa","Block 0","Angola",116489000,"Total Sa Block 0"
"86","BG Group Ltd","ECMA","Trinidad and Tobago",112851000,"BG Group Ltd ECMA"
"87","Gulf Keystone Petroleum Ltd","Shaikan","Iraq",112582947,"Gulf Keystone Petroleum Ltd Shaikan"
"88","Vedanta Resources","HZL-RA Mines","India",112450000,"Vedanta Resources HZL-RA Mines"
"89","Total Sa","CPP Pointe Noire Grands Fonds (PNGF)","Congo",104859000,"Total Sa CPP Pointe Noire Grands Fonds (PNGF)"
"90","ROYAL DUTCH SHELL PLC","ITALY UPSTREAM ASSET","Italy",104352782,"ROYAL DUTCH SHELL PLC ITALY UPSTREAM ASSET"
"91","Ophir Energy Plc","Bualuang","Thailand",103790000,"Ophir Energy Plc Bualuang"
"92","BG Group Ltd","NCMA","Trinidad and Tobago",103589000,"BG Group Ltd NCMA"
"93","EVRAZ PLC","EVRAZ KGOK","Russian Federation",103091871,"EVRAZ PLC EVRAZ KGOK"
"94","ROYAL DUTCH SHELL PLC","SHELL ITALIA E&P SpA","Italy",102686074,"ROYAL DUTCH SHELL PLC SHELL ITALIA E&P SpA"
"95","ROYAL DUTCH SHELL PLC","BRUNEI OFFSHORE BLOCKS","Brunei Darussalam",101953874,"ROYAL DUTCH SHELL PLC BRUNEI OFFSHORE BLOCKS"
"96","Total Sa","Qatargas 1","Qatar",101895000,"Total Sa Qatargas 1"
"97","Anglo American plc","Corporate-Anglo American Sur S.A.","Chile",97089292,"Anglo American plc Corporate-Anglo American Sur S.A."
"98","Total Sa","CPP Haute Mer - Zone D","Congo",96713000,"Total Sa CPP Haute Mer - Zone D"
"99","Total Sa","CPP Haute Mer - Zone A","Congo",95539000,"Total Sa CPP Haute Mer - Zone A"
"100","Anglo American plc","Capcoal","Australia",95100906,"Anglo American plc Capcoal"
"101","Rio Tinto PLC","RICHARDS BAY MINERALS","South Africa",90582871,"Rio Tinto PLC RICHARDS BAY MINERALS"
"102","ROYAL DUTCH SHELL PLC","PSC 1993 (OPL209)","Nigeria",88954570,"ROYAL DUTCH SHELL PLC PSC 1993 (OPL209)"
"103","BP P.L.C.","BM-POT-16 (POT-M-760)","Brazil",85996688,"BP P.L.C. BM-POT-16 (POT-M-760)"
"104","Glencore plc","Antapaccay","Peru",85648000,"Glencore plc Antapaccay"
"105","BP P.L.C.","In Salah","Algeria",84492164,"BP P.L.C. In Salah"
"106","Rio Tinto PLC","WEIPA INCLUDING AMRUN","Australia",81915576,"Rio Tinto PLC WEIPA INCLUDING AMRUN"
"107","Polymetal Intl Plc","Dukat","Russian Federation",79012000,"Polymetal Intl Plc Dukat"
"108","Exillon Energy Plc","Kayumovskoe oil field","Russian Federation",78131000,"Exillon Energy Plc Kayumovskoe oil field"
"109","Total Sa","Kombi, Likalala & Libondo","Congo",77412000,"Total Sa Kombi, Likalala & Libondo"
"110","Anglo American plc","Corporate-Anglo American Niobio Ltda","Brazil",77182110,"Anglo American plc Corporate-Anglo American Niobio Ltda"
"111","BP P.L.C.","BM-POT-17 (POT-M-665)","Brazil",76458643,"BP P.L.C. BM-POT-17 (POT-M-665)"
"112","BP P.L.C.","Divested Assets","Viet Nam",75476621,"BP P.L.C. Divested Assets"
"113","BP P.L.C.","Temsah","Egypt",75307176,"BP P.L.C. Temsah"
"114","Randgold Resources","Société des Mines de Gounkoto SA","Mali",74959553,"Randgold Resources Société des Mines de Gounkoto SA"
"115","ROYAL DUTCH SHELL PLC","ATHABASCA OIL SANDS","Canada",73296138,"ROYAL DUTCH SHELL PLC ATHABASCA OIL SANDS"
"116","ROYAL DUTCH SHELL PLC","GABON CENTRAL","Gabon",72755193,"ROYAL DUTCH SHELL PLC GABON CENTRAL"
"117","BP P.L.C.","Colorado","United States of America",71543263,"BP P.L.C. Colorado"
"118","BG Group Ltd","Corporate","Brazil",70975000,"BG Group Ltd Corporate"
"119","ROYAL DUTCH SHELL PLC","SHELL GABON SA","Gabon",69633947,"ROYAL DUTCH SHELL PLC SHELL GABON SA"
"120","BP P.L.C.","Rumaila","Iraq",67653271,"BP P.L.C. Rumaila"
