"","Company","Project","Country","V1","ProComp"
"494","EQUION ENERGIA LIMITED","Río Chitamena","Colombia",754803,"EQUION ENERGIA LIMITED Río Chitamena"
"495","Total Sa","Meillon","France",754000,"Total Sa Meillon"
"496","Anglo American plc","Venetia Mine","South Africa",750000,"Anglo American plc Venetia Mine"
"497","ROYAL DUTCH SHELL PLC","KAPUNI","New Zealand",742945,"ROYAL DUTCH SHELL PLC KAPUNI"
"498","BP P.L.C.","BM-POT-16 (POT-M-663)","Brazil",734260,"BP P.L.C. BM-POT-16 (POT-M-663)"
"499","PetroLatina Energy Ltd. (consolidated group)","Tisquirama A Block","Colombia",732690,"PetroLatina Energy Ltd. (consolidated group) Tisquirama A Block"
"500","Glencore plc","Doseo / Borogop Project","Chad",708000,"Glencore plc Doseo / Borogop Project"
"501","JKX Oil & Gas plc","Payment at an entity level","Ukraine",696000,"JKX Oil & Gas plc Payment at an entity level"
"502","Antofagasta plc","Encuentro","",694000,"Antofagasta plc Encuentro"
"503","Rio Tinto PLC","QIT MADAGASCAR MINERALS","Madagascar",679440,"Rio Tinto PLC QIT MADAGASCAR MINERALS"
"504","Anglo American plc","Corporate-Anglo American Quellaveco S.A.","Peru",678325,"Anglo American plc Corporate-Anglo American Quellaveco S.A."
"505","Perenco (Oil & Gas) International Limited","3341","Turkey",673951,"Perenco (Oil & Gas) International Limited 3341"
"506","Premier Oil Plc","Catcher","United Kingdom of Great Britain and Northern Ireland",655000,"Premier Oil Plc Catcher"
"507","Acacia Mining","Kenya administrative","Kenya",644000,"Acacia Mining Kenya administrative"
"508","Tullow Oil PLC","South Omo","Ethiopia",637409,"Tullow Oil PLC South Omo"
"509","ROYAL DUTCH SHELL PLC","SABAH SHELL PETROLEUM COMPANY LIMITED","Malaysia",636395,"ROYAL DUTCH SHELL PLC SABAH SHELL PETROLEUM COMPANY LIMITED"
"510","ROYAL DUTCH SHELL PLC","UK EXPLORATIONS PROJECTS","United Kingdom of Great Britain and Northern Ireland",631198,"ROYAL DUTCH SHELL PLC UK EXPLORATIONS PROJECTS"
"511","Ophir Energy Plc","Block R","Equatorial Guinea",631000,"Ophir Energy Plc Block R"
"512","BP P.L.C.","North El Burg","Egypt",625000,"BP P.L.C. North El Burg"
"513","Glencore plc","Northern Territory Project - McArthur River Zinc","Australia",617980,"Glencore plc Northern Territory Project - McArthur River Zinc"
"514","Total Sa","Block 32","Angola",616000,"Total Sa Block 32"
"515","EVRAZ PLC","Shakhta Alardinskaya","Russian Federation",609974,"EVRAZ PLC Shakhta Alardinskaya"
"516","Jardine Matheson Holdings Ltd","North Barito, Central Kalimantan Project","Indonesia",603360,"Jardine Matheson Holdings Ltd North Barito, Central Kalimantan Project"
"517","Antofagasta plc","CCM Leonor","",596000,"Antofagasta plc CCM Leonor"
"518","BP P.L.C.","BM-C-34 (C-M-473)","Brazil",590650,"BP P.L.C. BM-C-34 (C-M-473)"
"519","ROYAL DUTCH SHELL PLC","SHELL OIL & GAS (MALAYSIA) LLC","Malaysia",587157,"ROYAL DUTCH SHELL PLC SHELL OIL & GAS (MALAYSIA) LLC"
"520","BP P.L.C.","EPSA","Libya",584575,"BP P.L.C. EPSA"
"521","EVRAZ PLC","Raspadskaya-Koksovaya","Russian Federation",584573,"EVRAZ PLC Raspadskaya-Koksovaya"
"522","ROYAL DUTCH SHELL PLC","BASIN EXPLORATION PROJECTS","Brazil",582284,"ROYAL DUTCH SHELL PLC BASIN EXPLORATION PROJECTS"
"523","Total Sa","Baranan Block","Iraq",565000,"Total Sa Baranan Block"
"524","Rio Tinto PLC","EXPLORATION - CHILE","Chile",555753,"Rio Tinto PLC EXPLORATION - CHILE"
"525","Cairn Energy PLC","Area 3 (Block 1)","Malta",550500,"Cairn Energy PLC Area 3 (Block 1)"
"526","PetroLatina Energy Ltd. (consolidated group)","Paloma Block","Colombia",540137,"PetroLatina Energy Ltd. (consolidated group) Paloma Block"
"527","Vedanta Resources","SMCL-IO-Mandoorbaga","India",530000,"Vedanta Resources SMCL-IO-Mandoorbaga"
"528","Seplat Petroleum","OML 56","Nigeria",527310,"Seplat Petroleum OML 56"
"529","Ophir Energy Plc","Nkawa","Gabon",522000,"Ophir Energy Plc Nkawa"
"530","Ophir Energy Plc","Nkouere","Gabon",510000,"Ophir Energy Plc Nkouere"
"531","Total Sa","Block 11","Cyprus",509000,"Total Sa Block 11"
"532","Tullow Oil PLC","Tullow SA (Pty) Limited","South Africa",505034,"Tullow Oil PLC Tullow SA (Pty) Limited"
"533","EnQuest PLC","Kraken","United Kingdom of Great Britain and Northern Ireland",498491,"EnQuest PLC Kraken"
"534","Ophir Energy Plc","Mbeli","Gabon",497000,"Ophir Energy Plc Mbeli"
"535","Total Sa","Yucal Placer","Venezuela, Bolivarian Republic of",491000,"Total Sa Yucal Placer"
"536","BP P.L.C.","Exploration","United Kingdom of Great Britain and Northern Ireland",490995,"BP P.L.C. Exploration"
"537","Vedanta Resources","SMCL-IO-Totichomor Dongor","India",480000,"Vedanta Resources SMCL-IO-Totichomor Dongor"
"538","Total Sa","Ipati","Bolivia, Plurinational State of",464000,"Total Sa Ipati"
"539","Perenco Oil & Gas Colombia Limited","San Jacinto & Rio Paez LCN","Colombia",449560,"Perenco Oil & Gas Colombia Limited San Jacinto & Rio Paez LCN"
"540","JX Nippon Exploration and Production (U.K.) Limited","East Brae Project","United Kingdom of Great Britain and Northern Ireland",435043,"JX Nippon Exploration and Production (U.K.) Limited East Brae Project"
"541","Tullow Oil PLC","Schooner","United Kingdom of Great Britain and Northern Ireland",434488,"Tullow Oil PLC Schooner"
"542","Total Sa","Bemolanga","Madagascar",425000,"Total Sa Bemolanga"
"543","Anglo American plc","Voorspoed Mine","South Africa",424000,"Anglo American plc Voorspoed Mine"
"544","ROYAL DUTCH SHELL PLC","SARAWAK SHELL BERHAD","Malaysia",421287,"ROYAL DUTCH SHELL PLC SARAWAK SHELL BERHAD"
"545","Total Sa","Block 14k","Angola",420000,"Total Sa Block 14k"
"546","Total Sa","Lianzi","Congo",419000,"Total Sa Lianzi"
"547","Vedanta Resources","VEDL-IO-Mareta Sodo","India",410000,"Vedanta Resources VEDL-IO-Mareta Sodo"
"548","Total Sa","Skirne & Bygve","Norway",408000,"Total Sa Skirne & Bygve"
"549","BP P.L.C.","BM-C-32 (C-M-61/ Itaipu)","Brazil",404530,"BP P.L.C. BM-C-32 (C-M-61/ Itaipu)"
"550","Anglo American plc","Kimberley Mines","South Africa",403000,"Anglo American plc Kimberley Mines"
"551","Anglo American plc","Codemin","Brazil",401478,"Anglo American plc Codemin"
"552","Rio Tinto PLC","EXPLORATION - ARGENTINA","Argentina",399739,"Rio Tinto PLC EXPLORATION - ARGENTINA"
"553","Total Sa","Pécorade","France",397000,"Total Sa Pécorade"
"554","BP P.L.C.","Terre de Grace","Canada",396131,"BP P.L.C. Terre de Grace"
"555","Ophir Energy Plc","Bangkanai (Kerendan)","Indonesia",395000,"Ophir Energy Plc Bangkanai (Kerendan)"
"556","Polymetal Intl Plc","Kyzyl","Kazakhstan",394000,"Polymetal Intl Plc Kyzyl"
"557","Glencore plc","Block EG-05 Project","Equatorial Guinea",393000,"Glencore plc Block EG-05 Project"
"558","BP P.L.C.","East Ras Shukier Marine","Egypt",391101,"BP P.L.C. East Ras Shukier Marine"
"559","Tullow Oil PLC","PL 406","Norway",390701,"Tullow Oil PLC PL 406"
"560","Petropavlovsk Plc","Alluvial operations","Russian Federation",390000,"Petropavlovsk Plc Alluvial operations"
"561","Premier Oil Plc","Sea Lion","Falkland Islands (Malvinas)",390000,"Premier Oil Plc Sea Lion"
"562","Total Sa","OPL223","Nigeria",390000,"Total Sa OPL223"
"563","BP P.L.C.","Legacy Retained Conventional","Canada",387232,"BP P.L.C. Legacy Retained Conventional"
"564","Tethys Petroleum Limited","Kyzloi Gas","Kazakhstan",385780,"Tethys Petroleum Limited Kyzloi Gas"
"565","EVRAZ PLC","Shakhta Abashevskaya","Russian Federation",379110,"EVRAZ PLC Shakhta Abashevskaya"
"566","Total Sa","Block EA-1","Uganda",378000,"Total Sa Block EA-1"
"567","BP P.L.C.","El Matareya","Egypt",375000,"BP P.L.C. El Matareya"
"568","Hochschild Mining plc","Selene","Peru",371161,"Hochschild Mining plc Selene"
"569","Anglo American plc","Corporate-Kumba Iron Ore Limited","South Africa",363689,"Anglo American plc Corporate-Kumba Iron Ore Limited"
"570","JX Nippon Exploration and Production (U.K.) Limited","Brae Project","United Kingdom of Great Britain and Northern Ireland",363435,"JX Nippon Exploration and Production (U.K.) Limited Brae Project"
"571","Exillon Energy Plc","Nem Oil CJSC","Russian Federation",361000,"Exillon Energy Plc Nem Oil CJSC"
"572","Rio Tinto PLC","EXPLORATION - BRAZIL","Brazil",354611,"Rio Tinto PLC EXPLORATION - BRAZIL"
"573","EVRAZ PLC","Shakhta Kusheyakovskaya","Russian Federation",341749,"EVRAZ PLC Shakhta Kusheyakovskaya"
"574","Rio Tinto PLC","EXPLORATION - COLUMBIA","Colombia",341011,"Rio Tinto PLC EXPLORATION - COLUMBIA"
"575","BG Group Ltd","Central North Sea","United Kingdom of Great Britain and Northern Ireland",339000,"BG Group Ltd Central North Sea"
"576","Ophir Energy Plc","Manga","Gabon",334000,"Ophir Energy Plc Manga"
"577","Total Sa","Khan Asparuh","Bulgaria",323000,"Total Sa Khan Asparuh"
"578","Perenco Oil & Gas Colombia Limited","Tiple","Colombia",317376,"Perenco Oil & Gas Colombia Limited Tiple"
"579","FRESNILLO PLC","Servicios Administrativos Fresnillo, S.A. de C.V.","Mexico",313429,"FRESNILLO PLC Servicios Administrativos Fresnillo, S.A. de C.V."
"580","BG Group Ltd","Block 1","Tanzania, United Republic of",311000,"BG Group Ltd Block 1"
"581","Nostrum Oil & Gas PLC","Rostoshinkoye","Kazakhstan",3e+05,"Nostrum Oil & Gas PLC Rostoshinkoye"
"582","Tullow Oil PLC","Berenty (Block 3111)","Madagascar",3e+05,"Tullow Oil PLC Berenty (Block 3111)"
"583","Tullow Oil PLC","Mandabe (Block 3109)","Madagascar",3e+05,"Tullow Oil PLC Mandabe (Block 3109)"
"584","Tullow Oil PLC","Ketch","United Kingdom of Great Britain and Northern Ireland",299158,"Tullow Oil PLC Ketch"
"585","BP P.L.C.","Nova Scotia Exploration","Canada",298693,"BP P.L.C. Nova Scotia Exploration"
"586","Glencore plc","San Juan Project - Minera Pachon","Argentina",294000,"Glencore plc San Juan Project - Minera Pachon"
"587","Vedanta Resources","MVPL","India",290000,"Vedanta Resources MVPL"
"588","Avocet Mining PLC","Tri-K","Guinea",288000,"Avocet Mining PLC Tri-K"
"589","BP P.L.C.","BM-C-34 (C-M-471)","Brazil",281579,"BP P.L.C. BM-C-34 (C-M-471)"
"590","Total Sa","Aquio","Bolivia, Plurinational State of",281000,"Total Sa Aquio"
"591","Glencore plc","Block V Project","Equatorial Guinea",279000,"Glencore plc Block V Project"
"592","BG Group Ltd","L10A","Kenya",275000,"BG Group Ltd L10A"
"593","Tullow Oil PLC","CI-26 Espoir","Cote d'Ivoire",273751,"Tullow Oil PLC CI-26 Espoir"
"594","Anglo American plc","Boa Vista (Fresh Rock)","Brazil",271683,"Anglo American plc Boa Vista (Fresh Rock)"
"595","FRESNILLO PLC","Servicios de Exploracion Fresnillo S.A. De C.V.","Mexico",267462,"FRESNILLO PLC Servicios de Exploracion Fresnillo S.A. De C.V."
"596","Tullow Oil PLC","PL 405B","Norway",263007,"Tullow Oil PLC PL 405B"
"597","Antofagasta plc","Twin Metals","",263000,"Antofagasta plc Twin Metals"
"598","Cairn Energy PLC","Foum  Draa","Morocco",262452,"Cairn Energy PLC Foum  Draa"
"599","Tullow Oil PLC","Murdoch K","United Kingdom of Great Britain and Northern Ireland",259624,"Tullow Oil PLC Murdoch K"
"600","ROYAL DUTCH SHELL PLC","GABON EXPLORATION","Gabon",258560,"ROYAL DUTCH SHELL PLC GABON EXPLORATION"
"601","Tullow Oil PLC","Block 47","Suriname",257689,"Tullow Oil PLC Block 47"
"602","Tullow Oil PLC","Block 54","Suriname",257689,"Tullow Oil PLC Block 54"
"603","BG Group Ltd","L10B","Kenya",253000,"BG Group Ltd L10B"
"604","BP P.L.C.","Delaware","United States of America",252535,"BP P.L.C. Delaware"
"605","Anglo American plc","Forests","Brazil",250162,"Anglo American plc Forests"
"606","BP P.L.C.","North Tennin","Egypt",250000,"BP P.L.C. North Tennin"
"607","Glencore plc","DOH Project","Chad",250000,"Glencore plc DOH Project"
"608","ROYAL DUTCH SHELL PLC","YINGGEHAI","China",250000,"ROYAL DUTCH SHELL PLC YINGGEHAI"
"609","BP P.L.C.","North El-max","Egypt",250000,"BP P.L.C. North El-max"
"610","Green Dragon Gas Ltd","Shizhuang South (GSS)","China",247000,"Green Dragon Gas Ltd Shizhuang South (GSS)"
"611","Anglo American plc","Rustenburg Base Metal Refinery","South Africa",243093,"Anglo American plc Rustenburg Base Metal Refinery"
"612","EVRAZ PLC","Mezhegeyugol Coal Company","Russian Federation",241626,"EVRAZ PLC Mezhegeyugol Coal Company"
"613","Cadogan Petroleum PLC","Monastyretska licence area","Ukraine",241227,"Cadogan Petroleum PLC Monastyretska licence area"
"614","EVRAZ PLC","MUK-96","Russian Federation",241170,"EVRAZ PLC MUK-96"
"615","Tullow Oil PLC","TEN","Ghana",237263,"Tullow Oil PLC TEN"
"616","Premier Oil Plc","Brenda","United Kingdom of Great Britain and Northern Ireland",236000,"Premier Oil Plc Brenda"
"617","Hochschild Mining plc","Andina Minerals Chile Ltd","Chile",235204,"Hochschild Mining plc Andina Minerals Chile Ltd"
"618","Ophir Energy Plc","L9","Kenya",232000,"Ophir Energy Plc L9"
"619","Exillon Energy Plc","Ucatex Ugra LLC","Russian Federation",232000,"Exillon Energy Plc Ucatex Ugra LLC"
"620","Glencore plc","IV Region Coquimbo Project - Minera Punitaqui","Chile",230000,"Glencore plc IV Region Coquimbo Project - Minera Punitaqui"
"621","Hunting Plc","Ship Shoal 170","United States of America",228537,"Hunting Plc Ship Shoal 170"
"622","Total Sa","Block L22","Kenya",228000,"Total Sa Block L22"
"623","BG Group Ltd","Block 4","Tanzania, United Republic of",226000,"BG Group Ltd Block 4"
"624","Randgold Resources","Boundiali exploration permit","Cote d'Ivoire",220827,"Randgold Resources Boundiali exploration permit"
"625","BP P.L.C.","Andrew","United Kingdom of Great Britain and Northern Ireland",209265,"BP P.L.C. Andrew"
"626","Ophir Energy Plc","Ntsina","Gabon",209000,"Ophir Energy Plc Ntsina"
"627","ROYAL DUTCH SHELL PLC","AUSTRALIA EXPLORATION PROJECTS","Australia",208637,"ROYAL DUTCH SHELL PLC AUSTRALIA EXPLORATION PROJECTS"
"628","Ophir Energy Plc","Gnondo","Gabon",207000,"Ophir Energy Plc Gnondo"
"629","Glencore plc","Kagera Region Project - Kabanga","Tanzania, United Republic of",206000,"Glencore plc Kagera Region Project - Kabanga"
"630","Exillon Energy Plc","North-Kenyunskoye oil field","Russian Federation",204000,"Exillon Energy Plc North-Kenyunskoye oil field"
"631","Perenco Oil & Gas Colombia Limited","Manatus","Colombia",203760,"Perenco Oil & Gas Colombia Limited Manatus"
"632","Anglo American plc","Kumba Iron Ore - Thabazimbi Mine","South Africa",202938,"Anglo American plc Kumba Iron Ore - Thabazimbi Mine"
"633","Total Sa","Block EA-1A","Uganda",201000,"Total Sa Block EA-1A"
"634","Vedanta Resources","SMCL-IO-Lamgao","India",2e+05,"Vedanta Resources SMCL-IO-Lamgao"
"635","Hochschild Mining plc","Ares","Peru",196765,"Hochschild Mining plc Ares"
"636","Premier Oil Plc","Zarghun South","Pakistan",195000,"Premier Oil Plc Zarghun South"
"637","Tethys Petroleum Limited","Akulka Gas","Kazakhstan",194799,"Tethys Petroleum Limited Akulka Gas"
"638","Total Sa","Markham Area","United Kingdom of Great Britain and Northern Ireland",194000,"Total Sa Markham Area"
"639","Cadogan Petroleum PLC","Cheremkhivska Production licence area","Ukraine",193346,"Cadogan Petroleum PLC Cheremkhivska Production licence area"
"640","Total Sa","Ceara (CE-M-661)","Brazil",192000,"Total Sa Ceara (CE-M-661)"
"641","Tullow Oil PLC","Horne & Wren","United Kingdom of Great Britain and Northern Ireland",191207,"Tullow Oil PLC Horne & Wren"
"642","Total Sa","PL006 Tor","Norway",188000,"Total Sa PL006 Tor"
"643","Tullow Oil PLC","PL 519","Norway",186014,"Tullow Oil PLC PL 519"
"644","BP P.L.C.","ETAP","United Kingdom of Great Britain and Northern Ireland",182208,"BP P.L.C. ETAP"
"645","ROYAL DUTCH SHELL PLC","Shell Energy Asia Limited","Malaysia",181807,"ROYAL DUTCH SHELL PLC Shell Energy Asia Limited"
"646","Hochschild Mining plc","Arcata","Peru",181475,"Hochschild Mining plc Arcata"
"647","Vedanta Resources","CIL-MB-DWN","India",180000,"Vedanta Resources CIL-MB-DWN"
"648","Total Sa","Block TA29","Mauritania",175000,"Total Sa Block TA29"
"649","Total Sa","OPL285","Nigeria",173000,"Total Sa OPL285"
"650","JKX Oil & Gas plc","Exploration","Slovakia",173000,"JKX Oil & Gas plc Exploration"
"651","Total Sa","Block C9","Mauritania",170000,"Total Sa Block C9"
"652","Hochschild Mining plc","Inmaculada","Peru",167319,"Hochschild Mining plc Inmaculada"
"653","Anglo American plc","Chapadao","Brazil",167284,"Anglo American plc Chapadao"
"654","Anglo American plc","Mogalakwena","South Africa",166045,"Anglo American plc Mogalakwena"
"655","Total Sa","Block 17 / 06","Angola",163000,"Total Sa Block 17 / 06"
"656","Anglo American plc","Lararmides Generative","United States of America",162495,"Anglo American plc Lararmides Generative"
"657","Anglo American plc","Boa Vista","Brazil",160046,"Anglo American plc Boa Vista"
"658","BP P.L.C.","North Alexandria / West Mediterranean Deep Water","Egypt",160000,"BP P.L.C. North Alexandria / West Mediterranean Deep Water"
"659","ROYAL DUTCH SHELL PLC","WEST OF SHETLAND NON OPERATED","United Kingdom of Great Britain and Northern Ireland",158910,"ROYAL DUTCH SHELL PLC WEST OF SHETLAND NON OPERATED"
"660","Tullow Oil PLC","Block 10BA","Kenya",158100,"Tullow Oil PLC Block 10BA"
"661","Tullow Oil PLC","M'Oba","Gabon",157462,"Tullow Oil PLC M'Oba"
"662","Total Sa","CI-100","Cote d'Ivoire",157000,"Total Sa CI-100"
"663","Perenco (Oil & Gas) International Limited","840","Turkey",151978,"Perenco (Oil & Gas) International Limited 840"
"664","EnQuest PLC","Alma & Galia","United Kingdom of Great Britain and Northern Ireland",149663,"EnQuest PLC Alma & Galia"
"665","EnQuest PLC","Kildrummy","United Kingdom of Great Britain and Northern Ireland",149202,"EnQuest PLC Kildrummy"
"666","Total Sa","PL026 Rind","Norway",149000,"Total Sa PL026 Rind"
"667","Anglo American plc","Western Zambia - MDML","Zambia",148000,"Anglo American plc Western Zambia - MDML"
"668","Green Dragon Gas Ltd","Boatian-Qingshan (GGZ)","China",146000,"Green Dragon Gas Ltd Boatian-Qingshan (GGZ)"
"669","Ophir Energy Plc","Block 5B/1, 5B/2 & 5B/3","Seychelles",144000,"Ophir Energy Plc Block 5B/1, 5B/2 & 5B/3"
"670","Nord Gold SE","Jilbey Burkina SARL","Burkina Faso",142747,"Nord Gold SE Jilbey Burkina SARL"
"671","Premier Oil Plc","P354","United Kingdom of Great Britain and Northern Ireland",140000,"Premier Oil Plc P354"
"672","Total Sa","Gorgoglione Unified License","Italy",139000,"Total Sa Gorgoglione Unified License"
"673","Premier Oil Plc","CE-M-665-R11","Brazil",135000,"Premier Oil Plc CE-M-665-R11"
"674","Tethys Petroleum Limited","Bokhtar PSC","Tajikistan",130287,"Tethys Petroleum Limited Bokhtar PSC"
"675","Tullow Oil PLC","Kelvin","United Kingdom of Great Britain and Northern Ireland",129854,"Tullow Oil PLC Kelvin"
"676","Tullow Oil PLC","Walton Morant","Jamaica",128261,"Tullow Oil PLC Walton Morant"
"677","Tullow Oil PLC","Production Licence 37","Namibia",126660,"Tullow Oil PLC Production Licence 37"
"678","Anglo American plc","Twickenham","South Africa",126084,"Anglo American plc Twickenham"
"679","Tullow Oil PLC","Block 12B","Kenya",124000,"Tullow Oil PLC Block 12B"
"680","Total Sa","Blocks 1 & 2 (Onshore)","Uruguay",123000,"Total Sa Blocks 1 & 2 (Onshore)"
"681","Anglo American plc","Polokwane Smelter","South Africa",120247,"Anglo American plc Polokwane Smelter"
"682","Total Sa","Nurmunaï","Kazakhstan",120000,"Total Sa Nurmunaï"
"683","Green Dragon Gas Ltd","Chengzhuang (GCZ)","China",117000,"Green Dragon Gas Ltd Chengzhuang (GCZ)"
"684","Tullow Oil PLC","Katy","United Kingdom of Great Britain and Northern Ireland",115442,"Tullow Oil PLC Katy"
"685","JX Nippon Exploration and Production (U.K.) Limited","Licence P2024 Project","United Kingdom of Great Britain and Northern Ireland",114041,"JX Nippon Exploration and Production (U.K.) Limited Licence P2024 Project"
"686","Acacia Mining","Non-core exploration projects","Tanzania, United Republic of",114000,"Acacia Mining Non-core exploration projects"
"687","Green Dragon Gas Ltd","Fengcheng (GFC)","China",110000,"Green Dragon Gas Ltd Fengcheng (GFC)"
"688","JX Nippon Exploration and Production (U.K.) Limited","Licence P312 Project","United Kingdom of Great Britain and Northern Ireland",109663,"JX Nippon Exploration and Production (U.K.) Limited Licence P312 Project"
"689","Glencore plc","Quebec Project - various exploration projects","Canada",108000,"Glencore plc Quebec Project - various exploration projects"
"690","Cairn Energy PLC","Sangomar-Rufisque","Senegal",107055,"Cairn Energy PLC Sangomar-Rufisque"
"691","Total Sa","Other oil sands projects","Canada",102000,"Total Sa Other oil sands projects"
"692","Total Sa","Block 14 (Offshore)","Uruguay",1e+05,"Total Sa Block 14 (Offshore)"
"693","BG Group Ltd","Block 8","Uruguay",1e+05,"BG Group Ltd Block 8"
"694","BP P.L.C.","Block 12","Uruguay",1e+05,"BP P.L.C. Block 12"
"695","BP P.L.C.","Block 11","Uruguay",1e+05,"BP P.L.C. Block 11"
"696","BP P.L.C.","Block 6","Uruguay",1e+05,"BP P.L.C. Block 6"
"697","EnQuest PLC","Tanjong Baram","Malaysia",1e+05,"EnQuest PLC Tanjong Baram"
"698","BG Group Ltd","Block 9","Uruguay",1e+05,"BG Group Ltd Block 9"
"699","BG Group Ltd","Block 13","Uruguay",1e+05,"BG Group Ltd Block 13"
"700","Cairn Energy PLC","New Opportunities - Norway","Norway",97707,"Cairn Energy PLC New Opportunities - Norway"
"701","JX Nippon Exploration and Production (U.K.) Limited","Licence P1850 Project","United Kingdom of Great Britain and Northern Ireland",96551,"JX Nippon Exploration and Production (U.K.) Limited Licence P1850 Project"
"702","Tullow Oil PLC","49/24F1 (Gawain) 49/29a (part)","United Kingdom of Great Britain and Northern Ireland",96271,"Tullow Oil PLC 49/24F1 (Gawain) 49/29a (part)"
"703","Green Dragon Gas Ltd","Panxie East (GPX)","China",95000,"Green Dragon Gas Ltd Panxie East (GPX)"
"704","Total Sa","Foz de Amazonas","Brazil",95000,"Total Sa Foz de Amazonas"
"705","Tullow Oil PLC","Ingongo","Gabon",94142,"Tullow Oil PLC Ingongo"
"706","Total Sa","Block 72","Yemen",93000,"Total Sa Block 72"
"707","Tullow Oil PLC","Block 10BB","Kenya",92580,"Tullow Oil PLC Block 10BB"
"708","Tullow Oil PLC","Block 12A","Kenya",92340,"Tullow Oil PLC Block 12A"
"709","Vedanta Resources","SRL-IO-Onvalienchi Math","India",90000,"Vedanta Resources SRL-IO-Onvalienchi Math"
"710","Vedanta Resources","VEDL-C-Tuti","India",90000,"Vedanta Resources VEDL-C-Tuti"
"711","Tullow Oil PLC","Horne","United Kingdom of Great Britain and Northern Ireland",89587,"Tullow Oil PLC Horne"
"712","Green Dragon Gas Ltd","Qinyan (GQY)","China",85000,"Green Dragon Gas Ltd Qinyan (GQY)"
"713","Total Sa","Northern Lights","Canada",83000,"Total Sa Northern Lights"
"714","Petropavlovsk Plc","Other","Russian Federation",79000,"Petropavlovsk Plc Other"
"715","Tullow Oil PLC","Offshore Guinea (Deepwater)","Guinea",75087,"Tullow Oil PLC Offshore Guinea (Deepwater)"
"716","Tullow Oil PLC","PL 407","Norway",70973,"Tullow Oil PLC PL 407"
"717","Cairn Energy PLC","Juby Maritime","Morocco",70297,"Cairn Energy PLC Juby Maritime"
"718","Hunting Plc","Ship Shoal 109","United States of America",67375,"Hunting Plc Ship Shoal 109"
"719","Tullow Oil PLC","E14","Netherlands",65119,"Tullow Oil PLC E14"
"720","Tullow Oil PLC","E10","Netherlands",64796,"Tullow Oil PLC E10"
"721","Tullow Oil PLC","Boulton B & F","United Kingdom of Great Britain and Northern Ireland",64465,"Tullow Oil PLC Boulton B & F"
"722","Cairn Energy PLC","2011/13 (Pitu)","Greenland",63910,"Cairn Energy PLC 2011/13 (Pitu)"
"723","Cairn Energy PLC","2008/11 ( Eqqua)","Greenland",63483,"Cairn Energy PLC 2008/11 ( Eqqua)"
"724","Tullow Oil PLC","Munro (44/17B)","United Kingdom of Great Britain and Northern Ireland",60201,"Tullow Oil PLC Munro (44/17B)"
"725","Tullow Oil PLC","Tullow Guinea Limited","Guinea",59572,"Tullow Oil PLC Tullow Guinea Limited"
"726","Perenco Oil & Gas Colombia Limited","Cerrero Chacharo","Colombia",58916,"Perenco Oil & Gas Colombia Limited Cerrero Chacharo"
"727","Total Sa","Block 70","Yemen",57000,"Total Sa Block 70"
"728","Anglo American plc","Western Zambia - AEZL","Zambia",57000,"Anglo American plc Western Zambia - AEZL"
"729","Hunting Plc","South Timbalier 34","United States of America",56089,"Hunting Plc South Timbalier 34"
"730","Acacia Mining","Nyanzaga project","Tanzania, United Republic of",55000,"Acacia Mining Nyanzaga project"
"731","Rio Tinto PLC","SIMANDOU","Guinea",52995,"Rio Tinto PLC SIMANDOU"
"732","Tullow Oil PLC","Wissey","United Kingdom of Great Britain and Northern Ireland",52441,"Tullow Oil PLC Wissey"
"733","Total Sa","Islay","Norway",51000,"Total Sa Islay"
"734","Cairn Energy PLC","2005/06 (Lady Franklin)","Greenland",50842,"Cairn Energy PLC 2005/06 (Lady Franklin)"
"735","Total Sa","Xerelete (BC-2)","Brazil",49000,"Total Sa Xerelete (BC-2)"
"736","Hunting Plc","South Pelto 25","United States of America",48743,"Hunting Plc South Pelto 25"
"737","Hunting Plc","South Timbalier 19/30","United States of America",46242,"Hunting Plc South Timbalier 19/30"
"738","Cairn Energy PLC","FEL 1/14","Ireland",45368,"Cairn Energy PLC FEL 1/14"
"739","Total Sa","Nziembou CEPP","Gabon",45000,"Total Sa Nziembou CEPP"
"740","Glencore plc","Nunavut Project - Hackett","Canada",44000,"Glencore plc Nunavut Project - Hackett"
"741","Hunting Plc","South Pelto 5 & 5A","United States of America",43259,"Hunting Plc South Pelto 5 & 5A"
"742","Tullow Oil PLC","Thurne","United Kingdom of Great Britain and Northern Ireland",42941,"Tullow Oil PLC Thurne"
"743","Randgold Resources","Randgold Resources (Senegal) Limited","Senegal",42294,"Randgold Resources Randgold Resources (Senegal) Limited"
"744","KAZ Minerals PLC","Legal entity - East Region","Kazakhstan",42166,"KAZ Minerals PLC Legal entity - East Region"
"745","Cairn Energy PLC","P2149 (Block 1)","United Kingdom of Great Britain and Northern Ireland",41039,"Cairn Energy PLC P2149 (Block 1)"
"746","Hunting Plc","Bay Marchand Blk 2/5","United States of America",40841,"Hunting Plc Bay Marchand Blk 2/5"
"747","Antofagasta plc","Antucoya","",40000,"Antofagasta plc Antucoya"
"748","Total Sa","Block 33","Angola",38000,"Total Sa Block 33"
"749","Tullow Oil PLC","E15c","Netherlands",36949,"Tullow Oil PLC E15c"
"750","Tullow Oil PLC","E11","Netherlands",32333,"Tullow Oil PLC E11"
"751","Tullow Oil PLC","E18b","Netherlands",31024,"Tullow Oil PLC E18b"
