"","country","company_name","raw_place","norm_place","raw_pay","norm_pay","ratio_pay"
"1","Albania","",0,0,0,0,0
"2","Albania","Metals Finance Albaniash.p.k",1,0.0121951219512195,3784,1.12669127705013e-05,2.9606378402359e-07
"3","Albania","Joal - 06",2,0.024390243902439,10861,3.23387789641689e-05,8.49775041828809e-07
"4","Albania","Krasta",3,0.0365853658536585,18023,5.36637338432203e-05,1.41013678104048e-06
"5","Albania","Rej",4,0.0487804878048781,27011,8.04256291871067e-05,2.11336650905423e-06
"6","Albania","Comercir",5,0.0609756097560976,36396,0.000108369597567433,2.84765789728398e-06
"7","Albania","Beta shpk",6,0.0731707317073171,49414,0.000147130874112461,3.86619868492116e-06
"8","Albania","Topi Ekish.p.k",7,0.0853658536585366,64778,0.000192877398374084,5.06829275937636e-06
"9","Albania","Blerimi Kosturr 2010",8,0.0975609756097561,80861,0.000240764755162661,6.32664208243434e-06
"10","Albania","Çupi Group",9,0.109756097560976,100965,0.000300624695526868,7.89959829649624e-06
"11","Albania","Platinium Alb",10,0.121951219512195,122355,0.000364313718825235,9.57317238218985e-06
"12","Albania","Milis Brick sh.a",11,0.134146341463415,144918,0.000431495365981901,1.13385231112925e-05
"13","Albania","Vileda shpk (ish Koxheri shpk )",12,0.146341463414634,169516,0.000504736254018051,1.32630941893612e-05
"14","Albania","Energy Plus shpk",13,0.158536585365854,194380,0.000578769160763755,1.52084773621843e-05
"15","Albania","Ylberi",14,0.170731707317073,221675,0.000660040403911439,1.73440643032319e-05
"16","Albania","Colacem Albania shpk",15,0.182926829268293,250748,0.000746605666854564,1.96187636671108e-05
"17","Albania","Heavy Industriessh.p.k",16,0.195121951219512,280625,0.000835564851010026,2.19563687609989e-05
"18","Albania","Priska",17,0.207317073170732,310521,0.000924580607930456,2.42954604330838e-05
"19","Albania","ALBA shpk (BL - ARSI sh.p.k) sot",18,0.219512195121951,340739,0.0010145551243414,2.66597456935555e-05
"20","Albania","Shpiragu",19,0.231707317073171,371459,0.00110602435275308,2.90633079148041e-05
"21","Albania","Mustafai",20,0.24390243902439,404619,0.00120475871519225,3.16577780728967e-05
"22","Albania","Lita Bradhers Construction shpk",21,0.25609756097561,439188,0.0013076883947809,3.43624897404209e-05
"23","Albania"," Burimi - Xh Shpk",22,0.268292682926829,474864,0.00141391418230744,3.71538141481443e-05
"24","Albania","Amerika Group",23,0.280487804878049,510805,0.00152092901102958,3.99658724096644e-05
"25","Albania","San Leon Durrësi B.V.",24,0.292682926829268,547494,0.0016301710201831,4.28364549075612e-05
"26","Albania","Ra-Krom Tirana",25,0.304878048780488,588630,0.00175265403385312,4.60549749444519e-05
"27","Albania","Leshnica",26,0.317073170731707,632613,0.00188361402972652,4.94962469879798e-05
"28","Albania","Aliaj Group",27,0.329268292682927,679009,0.00202175876675088,5.31263144624931e-05
"29","Albania","MIN-EX Sh.p.k",28,0.341463414634146,725924,0.00216144883351306,5.67969889940647e-05
"30","Albania","ALFA - 7 shpk",29,0.353658536585366,776170,0.00231105699922834,6.07282841558113e-05
"31","Albania","Cahani",30,0.365853658536585,827107,0.00246272262708009,6.47136438193445e-05
"32","Albania","KLERVIBRIS",31,0.378048780487805,882679,0.00262818903207012,6.90616503219235e-05
"33","Albania","Gjoni",32,0.390243902439024,939301,0.00279678182670314,7.34918098301116e-05
"34","Albania","UNITED QUARRIES shpk",33,0.402439024390244,998516,0.00297309531499733,7.81248481416753e-05
"35","Albania","Marei",34,0.414634146341463,1058781,0.00315253519293451,8.2840039458848e-05
"36","Albania","Info Metal Plast-Al",35,0.426829268292683,1123161,0.00334422754075821,8.78771923170506e-05
"37","Albania","Mineral Bitumen",36,0.439024390243902,1189604,0.00354206249985187,9.30757562710357e-05
"38","Albania","Babasi COO",37,0.451219512195122,1257078,0.00374296727582354,9.83549866524331e-05
"39","Albania","TADRI shpk",38,0.463414634146341,1325877,0.00394781725777326,0.000103737886302813
"40","Albania","SORIGE - ALB shpk",39,0.475609756097561,1396502,0.00415810418018781,0.000109263653941996
"41","Albania","Shkalla",40,0.48780487804878,1467864,0.00437058553038033,0.00011484708516702
"42","Albania","Vellazeria Minerals Albania",41,0.5,1539292,0.00458326339649327,0.000120435680295254
"43","Albania","IVNO 1100 Shpk",42,0.51219512195122,1612016,0.00479980012067983,0.000126125675704697
"44","Albania","Albanisa Krypi",43,0.524390243902439,1689916,0.0050317484570493,0.000132220646311313
"45","Albania","Drini Bulqize",44,0.536585365853659,1776245,0.005288794258467,0.000138975109950577
"46","Albania","Grenast shpk",45,0.548780487804878,1864409,0.00555130379797506,0.000145873145747262
"47","Albania","Selenice Bitumi",46,0.560975609756098,1954825,0.00582051869888881,0.000152947380180739
"48","Albania","Xhiretone",47,0.573170731707317,2047029,0.00609505739473747,0.000160161509446624
"49","Albania","Bytyçi",48,0.585365853658537,2142450,0.00637917475294942,0.000167627339873504
"50","Albania","Tili Inert",49,0.597560975609756,2242251,0.0066763336222435,0.000175435865695211
"51","Albania","Qeramika Apollon shpk (ish Fortis 2 shpk )",50,0.609756097560976,2346697,0.00698732304381532,0.000183607820765541
"52","Albania","Erdat Lura shpk",51,0.621951219512195,2454568,0.00730851045065114,0.000192047751116072
"53","Albania","Romes",52,0.634146341463415,2566866,0.00764287931172455,0.000200834054186442
"54","Albania","Brisel",53,0.646341463414634,2680253,0.00798049068548481,0.000209705561659773
"55","Albania","Gjo Spa POWER shpk",54,0.658536585365854,2801066,0.00834021307780579,0.000219158086485154
"56","Albania","XHULJO shpk",55,0.670731707317073,2934783,0.00873835731008198,0.000229620232628992
"57","Albania","Bledi",56,0.682926829268293,3070951,0.00914379942903907,0.000240274147360208
"58","Albania","Makaresh",57,0.695121951219512,3212824,0.00956622826505634,0.000251374426755235
"59","Albania","Vellezerit Hysa",58,0.707317073170732,3368595,0.0100300385898908,0.000263562098980694
"60","Albania","ALB LEAA INTERNATIONAL",59,0.719512195121951,3525019,0.0104957932313319,0.000275800862551547
"61","Albania","Energji Ashta shpk",60,0.731707317073171,3700989,0.0110197463603554,0.000289568923882052
"62","Albania","Koka",61,0.74390243902439,3888681,0.0115786019078504,0.000304254125718985
"63","Albania","Fabrika e Pasurimit te Kromit Bulqize",62,0.75609756097561,4080554,0.0121499064411523,0.000319266453000158
"64","Albania","San Tara",63,0.768292682926829,4275625,0.0127307330640525,0.000334528994864129
"65","Albania","Shpresa - AL",64,0.780487804878049,4511046,0.0134317023746615,0.00035294855937222
"66","Albania","Fushe Kruja Cement Factory Sh.p.k.",65,0.792682926829268,4761703,0.014178037087747,0.000372560203112178
"67","Albania","Balkan Green Energy sh.p.k",66,0.804878048780488,5045288,0.0150224153800362,0.000394748165108037
"68","Albania","Miniera e Kromit Katjel",67,0.817073170731707,5349404,0.0159279250111445,0.000418542492206905
"69","Albania","Agbes Construction shpk",68,0.829268292682927,5697994,0.0169658565974736,0.000445816507659544
"70","Albania","Phoenix Petroleum",69,0.841463414634146,6069158,0.0180710025836127,0.000474856734491819
"71","Albania","Antea Cement",70,0.853658536585366,6599792,0.0196509727186714,0.000516374046852172
"72","Albania","Egi -K",71,0.865853658536585,7147550,0.0212819298025362,0.000559231157372572
"73","Albania","Petromanas Albania GmbH",72,0.878048780487805,7716443,0.0229758166436431,0.000603741890534446
"74","Albania","AlbChrome",73,0.890243902439024,8676093,0.0258331879016272,0.000678825825613262
"75","Albania","HEC-i Tërvolit shpk",74,0.902439024390244,9648098,0.0287273463444103,0.000754876427724744
"76","Albania","Salillari",75,0.914634146341463,10744929,0.0319931759429784,0.00084069353562495
"77","Albania","Beralb Sh.a.",76,0.926829268292683,15195269,0.0452441253560526,0.00118889239941764
"78","Albania","Transoil Group & Dega në Shqipëri",77,0.939024390243902,20565319,0.0612335241201199,0.00160905025443769
"79","Albania","Dega në Shqipëri e Stream Oil & Gas Ltd.",78,0.951219512195122,31691699,0.0943624757351967,0.00247958888162702
"80","Albania","Albpetrol Sh.A.",79,0.963414634146341,55752635,0.166004248221617,0.00436213955797729
"81","Albania","KESH sh.a.",80,0.975609756097561,87265597,0.259834532046703,0.00682774388554378
"82","Albania","Bankers Petroleum Albania Ltd.",81,0.98780487804878,186224777,0.554486870551021,0.0145704049042202
"83","Albania","Kurum International sh.a",82,1,335850652,1,0.0262772766643525
"84","Azerbaijan","",0,0,0,0,0
"85","Azerbaijan","Naftiran Intertrade Co (NICO) Limited",1,0.032258064516129,40000,1.46539395838564e-05,5.43770209432975e-07
"86","Azerbaijan","Bahar Energy Limited",2,0.0645161290322581,240000,8.79236375031387e-05,3.26262125659785e-06
"87","Azerbaijan","R.V. Investment Group Services",3,0.0967741935483871,1040000,0.000381002429180268,1.41380254452573e-05
"88","Azerbaijan","Salyan Oil",4,0.129032258064516,1940000,0.000710716069817038,2.63728551574993e-05
